5, 351, 119
10, 378, 120
15, 425, 165
20, 427, 161
25, 390, 137
30, 426, 168
35, 426, 163
40, 427, 169
45, 443, 172
50, 457, 174
55, 383, 140
60, 419, 158
65, 449, 165
70, 401, 137
